id,date,text,user_id,user_name,retweeted,RT_text,RT_user_id,RT_user_name,location/country,location/city
1026921955851690000,Tue Aug 07 20:04:08 +0000 2018,"RT @GomezBacaxLima: #PuenteTalavera ""desplomado"" y sin reponer, una falta de respeto a los vecinos. Tenemos una solución a este y otras obr…",2174867665,@Streetlightfer,true,"#PuenteTalavera ""desplomado"" y sin reponer, una falta de respeto a los vecinos. Tenemos una solución a este y otras obras inconclusas. Convoco a debatir a Luis Castañeda Pardo y hallar una solución para esta y más obras detenidas. Lima y yo esperamos su respuesta. #LimaSeRespeta https://t.co/zNE3n0PcFC",702617340001828900,@GomezBacaxLima,,
1026922070284951600,Tue Aug 07 20:04:35 +0000 2018,@JorgeMunozAP @ap_bancada @AccionPopularPe @AccionPopular @AccionPopularAP @ppdenaccion @AccionPopularLo @APJOVEN @MunozaLima @AccionColorao MIENTE COMO JORGE MUÑOZ! POBRE DIABLO Y OPORTUNISTA!,373136115,@victori39804465,false,,,,,
1026922204687204400,Tue Aug 07 20:05:07 +0000 2018,@DanielUrresti1 @JCPP17 No me dan ganas de escucharte.,959924915989250000,@LuisLlamccaya2,false,,,,,
1026922272186159100,Tue Aug 07 20:05:23 +0000 2018,RT @radiomitre: #Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanat…,348116818,@cintitavargas,true,#Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanata a Laura Muñoz en 2012. https://t.co/xHS1Pn5yfe,182923335,@radiomitre,,
1026922512045813800,Tue Aug 07 20:06:20 +0000 2018,RT @radiomitre: #Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanat…,2511224350,@NicolasMelian4,true,#Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanata a Laura Muñoz en 2012. https://t.co/xHS1Pn5yfe,182923335,@radiomitre,,
1026922585026646000,Tue Aug 07 20:06:38 +0000 2018,RT @radiomitre: #Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanat…,271519704,@draccr,true,#Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanata a Laura Muñoz en 2012. https://t.co/xHS1Pn5yfe,182923335,@radiomitre,,
1026922650801713200,Tue Aug 07 20:06:53 +0000 2018,"@JovenesSJM @humberto_lay me parece excelente zapata tu pata  que usted se acerque a los vecinos con esa Humildad  y  esa sinceridad que lo caracteriza, nosotros los vecinos votaremos por usted por dos motivos una porque tiene buenas propuestas para el distrito segundo por que usted  ama a san juan de m.",1025038739087736800,@elizamoraDiaz2,false,,,,,
1026922856507220000,Tue Aug 07 20:07:42 +0000 2018,"RT @Bella15Anny: Así empezó el Caso Ciccone: Hace seis años atrás, Radio Mitre dio inicio a la investigación que llevó al ex vice de CFK a…",3150226936,@josanagasta1,true,"Así empezó el Caso Ciccone: Hace seis años atrás, Radio Mitre dio inicio a la investigación que llevó al ex vice de CFK a prisión. “Mi esposo es testaferro de Boudou” denunció Muñoz en el primer programa de Lanata Sin Filtro.  https://t.co/7JzRqHMjpv",981192780180533200,@Bella15Anny,,
1026922876530819100,Tue Aug 07 20:07:47 +0000 2018,RT @radiomitre: #Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanat…,23658326,@barbibegarie,true,#Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanata a Laura Muñoz en 2012. https://t.co/xHS1Pn5yfe,182923335,@radiomitre,,
1026922897133252600,Tue Aug 07 20:07:52 +0000 2018,Otra vez Lanata!!! Sin palabras!!! Gordi te adoro!!!,1330114050,@soyemmapeel,false,,,,,
